4,Airport ID,Name,City,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
GKA,1,Goroka Airport,Goroka,Papua New Guinea,AYGA,-6.0816898345900015,145.391998291,5282,10.0,U,Pacific/Port_Moresby,airport,OurAirports
MAG,2,Madang Airport,Madang,Papua New Guinea,AYMD,-5.20707988739,145.789001465,20,10.0,U,Pacific/Port_Moresby,airport,OurAirports
HGU,3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,AYMH,-5.826789855957031,144.29600524902344,5388,10.0,U,Pacific/Port_Moresby,airport,OurAirports
LAE,4,Nadzab Airport,Nadzab,Papua New Guinea,AYNZ,-6.569803,146.725977,239,10.0,U,Pacific/Port_Moresby,airport,OurAirports
POM,5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,AYPY,-9.443380355834961,147.22000122070312,146,10.0,U,Pacific/Port_Moresby,airport,OurAirports
WWK,6,Wewak International Airport,Wewak,Papua New Guinea,AYWK,-3.5838301181800003,143.66900634799998,19,10.0,U,Pacific/Port_Moresby,airport,OurAirports
UAK,7,Narsarsuaq Airport,Narssarssuaq,Greenland,BGBW,61.1604995728,-45.4259986877,112,-3.0,E,America/Godthab,airport,OurAirports
GOH,8,Godthaab / Nuuk Airport,Godthaab,Greenland,BGGH,64.19090271,-51.678100585900005,283,-3.0,E,America/Godthab,airport,OurAirports
SFJ,9,Kangerlussuaq Airport,Sondrestrom,Greenland,BGSF,67.0122218992,-50.7116031647,165,-3.0,E,America/Godthab,airport,OurAirports
THU,10,Thule Air Base,Thule,Greenland,BGTL,76.5311965942,-68.70320129390001,251,-4.0,E,America/Thule,airport,OurAirports
AEY,11,Akureyri Airport,Akureyri,Iceland,BIAR,65.66000366210939,-18.07270050048828,6,0.0,N,Atlantic/Reykjavik,airport,OurAirports
EGS,12,Egilsstaðir Airport,Egilsstadir,Iceland,BIEG,65.28330230712889,-14.401399612426758,76,0.0,N,Atlantic/Reykjavik,airport,OurAirports
IFJ,15,Ísafjörður Airport,Isafjordur,Iceland,BIIS,66.05809783935547,-23.13529968261719,8,0.0,N,Atlantic/Reykjavik,airport,OurAirports
KEF,16,Keflavik International Airport,Keflavik,Iceland,BIKF,63.985000610352,-22.605600357055998,171,0.0,N,Atlantic/Reykjavik,airport,OurAirports
RKV,18,Reykjavik Airport,Reykjavik,Iceland,BIRK,64.1299972534,-21.9405994415,48,0.0,N,Atlantic/Reykjavik,airport,OurAirports
YAM,21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,CYAM,46.48500061035156,-84.5093994140625,630,-5.0,A,America/Toronto,airport,OurAirports
YAY,24,St. Anthony Airport,St. Anthony,Canada,CYAY,51.391899108900006,-56.083099365200006,108,-3.5,A,America/St_Johns,airport,OurAirports
YBC,27,Baie Comeau Airport,Baie Comeau,Canada,CYBC,49.13249969482422,-68.20439910888672,71,-5.0,A,America/Toronto,airport,OurAirports
YBG,28,CFB Bagotville,Bagotville,Canada,CYBG,48.33060073852539,-70.99639892578125,522,-5.0,A,America/Toronto,airport,OurAirports
YBK,29,Baker Lake Airport,Baker Lake,Canada,CYBK,64.29889678960001,-96.077796936,59,-6.0,A,America/Winnipeg,airport,OurAirports
YBL,30,Campbell River Airport,Campbell River,Canada,CYBL,49.95080184936523,-125.27100372314452,346,-8.0,A,America/Vancouver,airport,OurAirports
YBR,31,Brandon Municipal Airport,Brandon,Canada,CYBR,49.91,-99.951897,1343,-6.0,A,America/Winnipeg,airport,OurAirports
YCB,32,Cambridge Bay Airport,Cambridge Bay,Canada,CYCB,69.1081008911,-105.13800048799999,90,-7.0,A,America/Edmonton,airport,OurAirports
YCD,33,Nanaimo Airport,Nanaimo,Canada,CYCD,49.054970224899996,-123.869862556,92,-8.0,A,America/Vancouver,airport,OurAirports
YCG,34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,CYCG,49.296398162799996,-117.63200378399999,1624,-8.0,A,America/Vancouver,airport,OurAirports
YCL,36,Charlo Airport,Charlo,Canada,CYCL,47.990798999999996,-66.330299,132,-4.0,A,America/Halifax,airport,OurAirports
YCO,37,Kugluktuk Airport,Coppermine,Canada,CYCO,67.81670379639999,-115.14399719200001,74,-7.0,A,America/Edmonton,airport,OurAirports
YCY,40,Clyde River Airport,Clyde River,Canada,CYCY,70.4860992432,-68.5167007446,87,-5.0,A,America/Toronto,airport,OurAirports
YZS,41,Coral Harbour Airport,Coral Harbour,Canada,CYZS,64.1932983398,-83.3593978882,210,-5.0,A,America/Coral_Harbour,airport,OurAirports
YDF,45,Deer Lake Airport,Deer Lake,Canada,CYDF,49.21080017089844,-57.39139938354492,72,-3.5,A,America/St_Johns,airport,OurAirports
YDQ,48,Dawson Creek Airport,Dawson Creek,Canada,CYDQ,55.7422981262207,-120.18299865722656,2148,-7.0,A,America/Dawson_Creek,airport,OurAirports
YEG,49,Edmonton International Airport,Edmonton,Canada,CYEG,53.309700012200004,-113.580001831,2373,-7.0,A,America/Edmonton,airport,OurAirports
YEK,50,Arviat Airport,Eskimo Point,Canada,CYEK,61.0942001343,-94.0708007812,32,-6.0,A,America/Winnipeg,airport,OurAirports
YEV,54,Inuvik Mike Zubko Airport,Inuvik,Canada,CYEV,68.30419921880001,-133.483001709,224,-7.0,A,America/Edmonton,airport,OurAirports
YFB,55,Iqaluit Airport,Iqaluit,Canada,CYFB,63.756401061999995,-68.5558013916,110,-5.0,A,America/Toronto,airport,OurAirports
YFC,56,Fredericton Airport,Fredericton,Canada,CYFC,45.86890029907226,-66.53720092773439,68,-4.0,A,America/Halifax,airport,OurAirports
YFO,58,Flin Flon Airport,Flin Flon,Canada,CYFO,54.6781005859375,-101.68199920654295,997,-6.0,A,America/Winnipeg,airport,OurAirports
YFS,60,Fort Simpson Airport,Fort Simpson,Canada,CYFS,61.76020050048828,-121.23699951171876,555,-7.0,A,America/Edmonton,airport,OurAirports
YGK,61,Kingston Norman Rogers Airport,Kingston,Canada,CYGK,44.22529983520508,-76.5969009399414,305,-5.0,A,America/Toronto,airport,OurAirports
YGL,62,La Grande Rivière Airport,La Grande Riviere,Canada,CYGL,53.62530136108398,-77.7042007446289,639,-5.0,A,America/Toronto,airport,OurAirports
YGP,63,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,CYGP,48.775299072299994,-64.4785995483,112,-5.0,A,America/Toronto,airport,OurAirports
YGR,65,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,CYGR,47.42470169067383,-61.778099060058594,35,-5.0,A,America/Toronto,airport,OurAirports
YHD,67,Dryden Regional Airport,Dryden,Canada,CYHD,49.83169937133789,-92.74420166015624,1354,-6.0,A,America/Winnipeg,airport,OurAirports
YHI,68,Ulukhaktok Holman Airport,Holman Island,Canada,CYHI,70.76280212402344,-117.80599975585938,117,-7.0,A,America/Edmonton,airport,OurAirports
YHK,69,Gjoa Haven Airport,Gjoa Haven,Canada,CYHK,68.635597229,-95.8497009277,152,-7.0,A,America/Edmonton,airport,OurAirports
YHM,70,John C. Munro Hamilton International Airport,Hamilton,Canada,CYHM,43.173599243199995,-79.93499755859999,780,-5.0,A,America/Toronto,airport,OurAirports
YHU,71,Montréal / Saint-Hubert Airport,Montreal,Canada,CYHU,45.5175018311,-73.4169006348,90,-5.0,A,America/Toronto,airport,OurAirports
YHY,72,Hay River / Merlyn Carter Airport,Hay River,Canada,CYHY,60.8396987915,-115.782997131,541,-7.0,A,America/Edmonton,airport,OurAirports
YHZ,73,Halifax / Stanfield International Airport,Halifax,Canada,CYHZ,44.880798339799995,-63.508598327600005,477,-4.0,A,America/Halifax,airport,OurAirports
YIO,75,Pond Inlet Airport,Pond Inlet,Canada,CYIO,72.6832962036,-77.9666976929,181,-5.0,A,America/Toronto,airport,OurAirports
YJT,77,Stephenville Airport,Stephenville,Canada,CYJT,48.5442008972168,-58.54999923706055,84,-3.5,A,America/St_Johns,airport,OurAirports
YKA,78,Kamloops Airport,Kamloops,Canada,CYKA,50.702201843299996,-120.444000244,1133,-8.0,A,America/Vancouver,airport,OurAirports
YKF,79,Waterloo Airport,Waterloo,Canada,CYKF,43.4608001709,-80.3786010742,1055,-5.0,A,America/Toronto,airport,OurAirports
