Active;FirstName;LastName;GenderAsString;CantonName;CantonAbbreviation;CouncilName;ParlGroupName;ParlGroupAbbreviation;PartyName;PartyAbbreviation;MaritalStatusText;BirthPlace_City;BirthPlace_Canton;Mandates;DateJoining;DateLeaving;Citizenship;DateOfBirth;DateOfDeath
FAUX;Giuseppe;a Marca;m;Grisons;GR;Conseil des Etats;Centre;MC;Conservateurs;Cons*;;;;;01/12/1849;01/07/1851;Soazza (GR);29/07/1799;16/07/1866
FAUX;Alois;Ab Yberg;m;Schwyz;SZ;Conseil national;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;03/12/1928;01/12/1935;Schwyz (SZ);06/10/1878;17/10/1959
FAUX;Fabio;Abate;m;Tessin;TI;Conseil national;Groupe radical-libéral;RL;Parti radical-démocratique suisse;PRD;marié(e);Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;03/12/2007;04/12/2011;Cabbio (TI);04/01/1966;
FAUX;Fabio;Abate;m;Tessin;TI;Conseil national;Groupe radical-libéral;R;Parti radical-démocratique suisse;PRD;marié(e);Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;25/09/2000;30/11/2003;Cabbio (TI);04/01/1966;
FAUX;Fabio;Abate;m;Tessin;TI;Conseil des Etats;Groupe libéral-radical;RL;PLR.Les Libéraux-Radicaux;PLR;marié(e);Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;05/12/2011;29/11/2015;Cabbio (TI);04/01/1966;
VRAI;Fabio;Abate;m;Tessin;TI;Conseil des Etats;Groupe libéral-radical;RL;PLR.Les Libéraux-Radicaux;PLR;marié(e);Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;30/11/2015;;Cabbio (TI);04/01/1966;
FAUX;Fabio;Abate;m;Tessin;TI;Conseil national;Groupe radical-libéral;R;Parti radical-démocratique suisse;PRD;marié(e);Locarno;Tessin;Incarichi esecutivi presso il comune di Locarno: municipale dal 1996 al 2001;01/12/2003;02/12/2007;Cabbio (TI);04/01/1966;
FAUX;Johann Jakob;Abegg;m;Zurich;ZH;Conseil national;Groupe libéral démocrate;LD;Libéral;Lib*;;;;;05/12/1887;17/02/1912;Küsnacht (ZH);23/07/1834;17/02/1912
FAUX;Alfred;Abegg;m;Thurgovie;TG;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;02/12/1963;28/11/1971;Zurich (ZH);18/11/1914;13/08/1998
FAUX;Heinrich E.;Abt;m;Argovie;AG;Conseil national;;;Parti radical-démocratique suisse;PRD;;;;;04/12/1911;01/11/1919;Bünzen (AG);22/06/1854;15/11/1937
FAUX;H. Roman;Abt;m;Argovie;AG;Conseil national;Groupe des Paysans, Artisans et Bourgeois;BGB;Paysans, Artisans et Bourgeois;PAB;;;;;01/01/1919;27/03/1942;Bünzen (AG);15/01/1883;27/03/1942
FAUX;H. Roman;Abt;m;Argovie;AG;Conseil national;Groupe des Paysans, Artisans et Bourgeois;BGB;Paysans, Artisans et Bourgeois;PAB;;;;;01/01/1919;27/03/1942;Bünzen (AG);15/01/1883;27/03/1942
FAUX;H. Roman;Abt;m;Argovie;AG;Conseil national;Groupe des Paysans, Artisans et Bourgeois;BGB;Paysans, Artisans et Bourgeois;PAB;;;;;01/01/1919;27/03/1942;Bünzen (AG);15/01/1883;27/03/1942
FAUX;Joseph;Ackermann;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;01/12/1947;02/12/1951;Guin (FR),Plasselb (FR);16/02/1901;04/05/1987
FAUX;Walter;Ackermann;m;Appenzell Rh.-Ext.;AR;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;02/12/1935;01/12/1963;Herisau (AR);15/11/1890;31/01/1969
FAUX;Walter;Ackermann;m;Appenzell Rh.-Ext.;AR;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;02/12/1935;01/12/1963;Herisau (AR);15/11/1890;31/01/1969
FAUX;Walter;Ackermann;m;Appenzell Rh.-Ext.;AR;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;02/12/1935;01/12/1963;Herisau (AR);15/11/1890;31/01/1969
